Systematic_ID	Mass (kDa)	pI	Charge	Residues	CAI
SPBC14F5.09c	54.31	6.71	-1.97	482	0.49
SPBC14F5.10c	56.14	6.61	-3.31	486	0.58
SPBC14F5.11c	67.00	6.18	-9.3	586	0.65
SPBC14F5.12c	59.69	6.53	-2.25	514	0.61
SPBC14F5.13c	58.67	5.21	-16.01	532	0.59
SPBC1539.01c	23.95	9.5	10	210	0.53
SPBC1539.02	44.36	8.61	4.64	386	0.55
SPBC1539.03c	51.57	5.51	-8.63	460	0.58
SPBC1539.04	31.57	11.09	23.93	279	0.53
SPBC1539.05	86.00	4.86	-25.69	735	0.64
SPBC1539.06	9.84	4.89	-2.01	87	0.4
SPBC1539.07c	40.44	6.71	-1.87	378	0.59
SPBC1539.08	20.72	10.11	7.4	184	0.55
SPBC1539.09c	83.04	6.61	-3.84	759	0.55
SPBC1539.10	23.95	10.34	12.71	209	0.5
SPBC15C4.01c	32.82	6.15	-2.28	282	0.61
SPBC15C4.02	64.11	9.36	19.51	557	0.59
SPBC15C4.03	52.01	4.79	-15.33	459	0.6
SPBC15C4.04c	59.73	6.69	-1.48	542	0.58
SPBC15C4.05	161.46	6.98	-0.18	1428	0.59
SPBC15C4.06c	62.31	6.35	-5.75	556	0.6
SPBC15D4.01c	71.45	7.03	0.22	633	0.64
SPBC15D4.02	59.64	8.75	14.61	547	0.62
SPBC15D4.03	90.43	7.33	3.48	807	0.62
SPBC15D4.04	49.85	8.92	10.14	446	0.59
SPBC15D4.05	46.31	4.22	-34.86	411	0.61
SPBC15D4.06	17.70	8.7	3.6	150	0.55
SPBC15D4.07c	81.70	7.46	3.09	702	0.6
SPBC15D4.08c	15.72	4.65	-9.58	138	0.55
SPBC15D4.09c	68.97	6.57	-3.58	610	0.63
SPBC15D4.10c	51.79	8.59	3.35	475	0.58
SPBC15D4.11c	30.25	10.09	15.06	263	0.6
SPBC15D4.12c	13.64	10.31	12.62	113	0.51
SPBC15D4.13c	23.81	8.19	2.37	204	0.57
SPBC15D4.14	72.25	5	-21.58	642	0.6
SPBC15D4.15	32.79	5.48	-3.43	298	0.58
SPBC1604.01	89.71	5.09	-22.05	773	0.64
SPBC1604.02c	81.07	10.06	39.44	697	0.62
SPBC1604.03c	37.37	6.04	-5.02	330	0.57
SPBC1604.04	31.03	10.09	14.81	283	0.65
SPBC1604.05	60.88	6.38	-6.5	550	0.5
SPBC1604.06c	55.40	6.51	-2.86	485	0.65
SPBC1604.07	26.70	9.08	2.93	244	0.55
SPBC1604.08c	59.85	4.45	-24.79	539	0.56
SPBC1604.09c	29.60	10.34	18.88	260	0.58
SPBC1604.10	15.80	6.11	-2.13	138	0.47
SPBC1604.11	10.87	10.1	7.41	96	0.49
SPBC1604.12	93.28	9.49	14.01	860	0.58
SPBC1604.13c	11.62	11.5	15.81	103	0.49
SPBC1604.14c	72.36	10.31	30.24	658	0.58
SPBC1604.15	62.06	6.56	-3.66	545	0.62
SPBC1604.16c	22.60	10.26	14.78	199	0.55
SPBC1604.17c	54.32	5.78	-8.22	467	0.59
SPBC1604.18c	50.79	4.87	-9.64	449	0.58
SPBC1604.19c	76.03	7.22	1.53	658	0.61
SPBC1604.20c	70.10	7.09	0.39	628	0.59
SPBC1604.21c	112.95	4.87	-28.13	1012	0.57
SPBC1604.25	10.37	8.46	1.19	88	0.52
SPBC1652.01	43.64	4.82	-14.84	391	0.66
SPBC1652.02	65.28	8.04	5.05	594	0.65
SPBC1677.02	10.53	5	-1.78	90	0.53
SPBC1677.03c	66.54	8.62	9.6	600	0.55
SPBC1683.01	64.32	8.01	4.65	573	0.55
SPBC1683.02	39.44	5.43	-11.07	339	0.61
SPBC1683.03c	56.95	9.28	13.38	519	0.58
SPBC1683.04	93.17	5.94	-9.9	832	0.58
SPBC1683.05	62.67	8.53	6.93	559	0.57
SPBC1683.06c	33.67	5.15	-7.34	310	0.56
SPBC1683.07	67.75	4.79	-19.65	579	0.59
SPBC1683.08	62.13	8.43	6.86	557	0.59
SPBC1683.09c	64.09	9.56	22.72	564	0.66
SPBC1683.10c	25.62	4.76	-7.8	242	0.55
SPBC1683.11c	58.94	6.1	-5.02	518	0.64
SPBC1683.12	54.20	8.68	9.58	482	0.59
SPBC1683.13c	72.29	6.77	-1.6	618	0.61
SPBC1685.01	31.63	9.02	7.26	278	0.56
SPBC1685.02c	15.87	4.27	-12.49	148	0.5
SPBC1685.03	21.40	5.25	-3.32	189	0.58
SPBC1685.04	37.02	5.17	-6.87	325	0.65
SPBC1685.05	111.29	6.36	-9.85	997	0.62
SPBC1685.06	54.54	5	-9.24	478	0.63
SPBC1685.07c	45.46	9.27	13.33	420	0.57
SPBC1685.08	46.95	4.72	-21.75	424	0.59
SPBC1685.09	6.66	11.22	9.66	56	0.42
SPBC1685.10	9.17	9.22	6.51	83	0.46
SPBC1685.11	41.65	5.2	-9.51	363	0.64
SPBC1685.13	20.27	10.15	10.3	183	0.49
SPBC1685.14c	92.43	4.45	-50.71	801	0.66
SPBC1685.15c	87.80	10.04	29.38	784	0.64
SPBC1685.16	7.38	7.24	0.15	67	0.42
SPBC1685.17	9.54	10.59	12.27	81	0.5
SPBC16A3.01	42.09	4.8	-14.87	373	0.62
SPBC16A3.02c	38.19	7.2	0.73	347	0.61
SPBC16A3.03c	76.72	10.05	41.1	658	0.62
SPBC16A3.04	25.93	8.39	2.16	220	0.55
SPBC16A3.05c	38.63	8.05	3.46	352	0.6
SPBC16A3.06	43.94	8.67	11.46	388	0.61
SPBC16A3.07c	38.33	10.05	15.76	342	0.59
SPBC16A3.08c	30.95	10.89	17.49	284	0.45
SPBC16A3.09c	38.23	4.59	-13.08	342	0.61
SPBC16A3.10	58.82	9.69	20.44	509	0.63
SPBC16A3.11	98.91	7.79	5.44	872	0.62
SPBC16A3.12c	51.55	8	6.28	443	0.61
SPBC16A3.13	89.46	7.51	12.37	774	0.58
SPBC16A3.14	30.97	8.45	5.23	268	0.57
SPBC16A3.15c	51.15	4.73	-19.46	455	0.55
SPBC16A3.16	9.94	7.05	0.04	85	0.47
SPBC16A3.17c	65.30	8.77	12.46	599	0.58
SPBC16A3.18	53.48	9.85	12.86	490	0.59
SPBC16A3.19	30.90	10.4	14.95	272	0.53
SPBC16C6.01c	55.58	6.66	-1.98	473	0.62
SPBC16C6.02c	339.01	5.09	-63.21	3004	0.62
SPBC16C6.03c	23.47	10.58	14.4	207	0.58
SPBC16C6.04	38.76	7.18	0.57	350	0.6
SPBC16C6.05	21.63	8.58	3.12	190	0.58
SPBC16C6.06	165.06	4.47	-73.84	1466	0.6
SPBC16C6.07c	48.96	4.99	-8.69	438	0.56
SPBC16C6.08c	24.31	4.11	-32.18	214	0.54
SPBC16C6.09	90.09	8.67	14.66	778	0.58
SPBC16C6.10	42.95	4.81	-15.2	380	0.59
SPBC16C6.11	14.44	11.66	21.4	127	0.5
SPBC16C6.12c	54.31	4.57	-21.16	470	0.59
SPBC16C6.13c	89.80	4.75	-25.29	796	0.55
SPBC16C6.14	15.58	4.7	-6.61	133	0.52
SPBC16D10.01c	38.11	4.14	-33.39	336	0.56
SPBC16D10.02	53.59	8.93	11.84	469	0.64
SPBC16D10.03	37.51	7.69	2.61	346	0.56
SPBC16D10.04c	157.66	6.59	-9.68	1397	0.59
SPBC16D10.05	269.19	7.1	2.39	2358	0.6
SPBC16D10.06	45.27	5.33	-14.94	408	0.51
SPBC16D10.07c	53.44	4.79	-19.68	475	0.56
SPBC16D10.08c	100.51	5.53	-13.62	905	0.55
SPBC16D10.09	28.97	4.27	-17.39	260	0.56
SPBC16D10.10	43.29	7.68	2.61	386	0.59
SPBC16D10.11c	17.44	11.23	16.91	152	0.43
SPBC16E9.01c	32.73	9.72	8.39	295	0.59
SPBC16E9.02c	63.73	4.33	-48.96	569	0.6
SPBC16E9.03c	28.24	10.5	21.68	249	0.59
SPBC16E9.05	42.87	5.65	-7.73	378	0.55
SPBC16E9.06c	11.81	9.49	3.66	102	0.53
SPBC16E9.07	35.85	8.25	5.37	313	0.59
SPBC16E9.08	41.58	6.76	-0.5	355	0.6
SPBC16E9.09c	24.85	8.83	4.1	215	0.56
SPBC16E9.10c	86.18	5.33	-12.02	779	0.59
SPBC16E9.11c	89.26	9.12	11.96	786	0.59
SPBC16E9.12c	18.46	8.22	1.65	166	0.51
SPBC16E9.13	53.52	4.88	-16.66	474	0.59
SPBC16E9.14c	43.09	7.05	0.44	386	0.64
SPBC16E9.15	8.30	4.54	-3.01	75	0.45
SPBC16E9.16c	82.50	7.17	0.86	757	0.57
SPBC16E9.17c	46.00	4.53	-21.64	402	0.62
SPBC16E9.18	49.13	9.95	17.99	437	0.65
SPBC16E9.19	15.87	8.22	1.4	143	0.58
SPBC16E9.20	21.86	9.73	13.4	189	0.55
SPBC16G5.01	30.90	4.39	-17.14	270	0.6
SPBC16G5.02c	33.25	5.17	-6.73	318	0.61
SPBC16G5.03	31.38	8.69	7.9	268	0.66
SPBC16G5.04	17.77	10.27	13.32	157	0.56
SPBC16G5.05c	41.23	4.62	-14.69	383	0.54
SPBC16G5.06	24.07	5.64	-1.54	230	0.58
SPBC16G5.07c	39.27	9.53	7.13	354	0.57
SPBC16G5.08	37.56	6.51	-3.26	354	0.58
SPBC16G5.09	57.64	4.41	-27.58	510	0.59
SPBC16G5.10	32.01	4.17	-16.51	299	0.53
SPBC16G5.11c	22.21	9.8	6.92	195	0.66
SPBC16G5.12c	71.17	8.15	7.08	622	0.62
SPBC16G5.13	14.56	4.41	-8.64	126	0.5
SPBC16G5.14c	27.55	9.65	8.59	249	0.47
SPBC16G5.15c	71.17	9.36	10.84	642	0.58
SPBC16G5.16	94.56	7.32	3.07	827	0.6
SPBC16G5.17	65.11	6.17	-7.12	560	0.59
SPBC16G5.18	48.56	9.15	17.44	424	0.61
SPBC16G5.19	12.57	8.98	5.54	105	0.61
SPBC16H5.02	102.55	6.1	-12.68	942	0.51
SPBC16H5.03c	70.61	5.35	-11.64	628	0.57
SPBC16H5.04	21.96	10.34	9.7	194	0.53
SPBC16H5.05c	52.17	8.79	7.26	463	0.66
SPBC16H5.06	24.74	8.32	3.06	228	0.53
SPBC16H5.07c	36.49	4.52	-19.65	322	0.58
SPBC16H5.08c	69.21	6.07	-7.65	618	0.56
SPBC16H5.09c	44.35	6.99	-0.04	372	0.58
SPBC16H5.10c	83.80	6.23	-6.1	735	0.54
SPBC16H5.11c	70.86	4.66	-24.38	625	0.63
SPBC16H5.12c	82.52	5.54	-17.13	737	0.59
SPBC16H5.13	115.55	4.75	-32.91	1026	0.59
SPBC16H5.14c	31.75	9.6	10.51	286	0.6
SPBC16H5.15	19.68	5.43	-3.27	166	0.55
SPBC1703.01c	24.63	10.5	19.09	217	0.57
SPBC1703.02	87.99	5.84	-12.81	780	0.61
SPBC1703.03c	74.81	4.48	-27.11	664	0.62
SPBC1703.04	77.25	6.46	-4.69	684	0.6
SPBC1703.05	39.84	7.07	0.32	344	0.57
SPBC1703.06	72.25	6.58	-2.78	645	0.59
SPBC1703.07	67.20	7.99	4.81	615	0.53
SPBC1703.08c	23.49	8.66	5.5	204	0.61
SPBC1703.09	23.04	10.39	10.16	202	0.55
SPBC1703.10	22.82	5.08	-2.85	203	0.49
SPBC1703.11	24.54	10.19	7.41	218	0.53
SPBC1703.12	66.79	7.54	4.58	585	0.61
SPBC1703.13c	33.84	9.87	17.72	311	0.51
SPBC1703.14c	93.98	9.64	23.71	814	0.62
SPBC1703.15c	67.60	5.84	-8.2	592	0.61
SPBC1706.01	90.79	4.08	-78.23	821	0.62
SPBC1706.03	87.10	6.66	-4.88	758	0.61
SPBC1709.01	105.58	6.26	-10.15	926	0.64
SPBC1709.02c	111.32	6.9	-1.05	980	0.52
SPBC1709.03	47.74	5.17	-9.4	428	0.56
SPBC1709.04c	18.91	5.7	-2.4	173	0.54
SPBC1709.05	67.20	5.87	-4.66	613	0.48
SPBC1709.06	53.15	6.2	-5.05	479	0.63
SPBC1709.07	38.72	8.11	3.73	338	0.62
SPBC1709.08	160.30	4.52	-64.16	1441	0.63
SPBC1709.09	27.69	10.47	16.37	244	0.55
SPBC1709.10c	7.66	8.2	0.92	68	0.53
SPBC1709.11c	34.88	6.62	-1.64	305	0.62
SPBC1709.12	46.40	6.52	-2.78	400	0.62
SPBC1709.13c	62.32	4.81	-19.95	547	0.61
SPBC1709.14	39.24	5.66	-7.85	333	0.63
SPBC1709.15c	89.45	5	-24.93	797	0.56
SPBC1709.16c	33.70	6.18	-4.62	297	0.57
SPBC1709.17	54.10	6.67	-1.88	486	0.66
SPBC1709.18	27.65	7.06	0.14	243	0.61
SPBC1709.19c	28.84	4.82	-6.6	260	0.57
SPBC1709.20	12.38	7.63	1.12	108	0.55
SPBC1711.01c	4.86	10.13	2.94	42	0.37
SPBC1711.02	21.00	10.14	12.88	181	0.53
SPBC1711.03	28.88	9.08	3.17	258	0.55
SPBC1711.04	35.81	7.18	0.67	320	0.57
SPBC1711.05	47.43	3.97	-56.75	451	0.53
SPBC1711.06	39.91	11.39	39.12	363	0.49
SPBC1711.07	53.83	4.38	-35.44	480	0.56
SPBC1711.08	37.42	5.43	-6.4	336	0.54
SPBC1711.09c	30.69	6.28	-4.45	276	0.55
SPBC1711.10c	63.62	5.18	-11.12	572	0.6
SPBC1711.11	45.23	6.79	-1.01	390	0.6
SPBC1711.12	77.77	6.36	-9.57	683	0.59
SPBC1711.13	47.55	7.07	0.31	439	0.55
SPBC1711.14	20.51	9.45	4.16	180	0.57
SPBC1711.15c	3.79	4.64	-1.08	32	0.31
SPBC1711.16	57.34	4.05	-54.75	516	0.59
SPBC1711.17	132.97	7.2	2.28	1173	0.59
SPBC1711.18	9.80	10.88	7.94	86	0.46
SPBC1718.01	87.82	7.25	3.09	775	0.59
SPBC1718.02	61.55	7.58	2.59	528	0.61
SPBC1718.03	16.98	6.57	-0.54	147	0.6
SPBC1718.04	76.63	9.49	20.82	675	0.57
SPBC1718.05	23.85	8.05	1.86	209	0.58
SPBC1718.06	101.90	7.75	5.04	903	0.57
SPBC1718.07c	43.44	9.84	18.1	404	0.6
SPBC1734.01c	77.75	4.53	-42.84	682	0.56
SPBC1734.02c	42.35	5.3	-6.04	372	0.52
SPBC1734.03	81.92	7.78	4.81	733	0.58
SPBC1734.04	48.99	4.82	-21.18	430	0.58
SPBC1734.05c	24.61	10.42	10.72	209	0.5
SPBC1734.06	43.44	7.91	3.63	387	0.6
SPBC1734.07c	70.60	6.73	-2.75	618	0.59
SPBC1734.08	42.50	5.15	-6.37	373	0.59
SPBC1734.09	34.85	9.95	12.27	316	0.61
SPBC1734.10c	37.41	6.59	-2.17	332	0.6
SPBC1734.11	44.82	6.57	-3.18	407	0.51
SPBC1734.12c	62.88	8.59	8.14	546	0.67
SPBC1734.13	33.58	8.65	6.47	301	0.51
SPBC1734.14c	13.45	6.11	-2.04	113	0.48
SPBC1734.15	60.67	4.53	-25.98	542	0.57
SPBC1734.16c	132.88	6.82	-2.33	1154	0.63
SPBC1773.01	69.49	6.14	-6.34	612	0.61
SPBC1773.02c	21.16	8.8	3.38	195	0.55
SPBC1773.03c	50.50	6.75	-2.26	459	0.63
SPBC1773.04	37.81	6.32	-3.18	336	0.59
SPBC1773.05c	38.85	7.43	1.82	360	0.63
SPBC1773.06c	37.32	6.35	-3.74	346	0.64
SPBC1773.07c	24.15	5.16	-5.29	215	0.5
SPBC1773.08c	51.37	6.71	-2.48	440	0.59
SPBC1773.09c	63.76	9.9	21.54	551	0.62
SPBC1773.10c	63.87	5.91	-6.89	568	0.58
SPBC1773.11c	44.74	6.17	-2.19	396	0.58
SPBC1773.12	69.48	7	0	594	0.63
SPBC1773.13	54.76	7.1	0.59	481	0.62
SPBC1773.14	51.74	5.67	-8.47	461	0.63
SPBC1773.15	56.06	8.89	9.19	497	0.64
SPBC1773.16c	68.84	6.12	-6.73	595	0.61
SPBC1773.17c	37.66	7.38	1.17	340	0.59
SPBC1778.01c	50.21	8.75	3.93	442	0.49
SPBC1778.02	79.53	6.07	-11.8	693	0.58
SPBC1778.03c	42.81	6.4	-2.58	376	0.62
SPBC1778.04	54.75	9.04	14.04	474	0.67
SPBC1778.05c	17.50	5.03	-2.79	160	0.56
SPBC1778.06c	68.62	5.46	-10.46	614	0.54
SPBC1778.07	43.33	4.8	-15.58	373	0.65
SPBC1778.08c	19.84	8.31	2.58	174	0.55
SPBC1778.09	47.70	8.97	7.28	414	0.58
SPBC1778.10c	62.72	8.38	5.98	551	0.6
SPBC17A3.01c	52.57	9.36	6.98	452	0.6
SPBC17A3.02	12.85	9.74	6.88	119	0.5
SPBC17A3.03c	32.29	5.91	-7.38	287	0.59
SPBC17A3.04c	88.88	6.71	-2.58	782	0.57
SPBC17A3.05c	46.40	9.89	18.52	403	0.63
SPBC17A3.06	38.01	7.42	1.61	330	0.61
SPBC17A3.07	50.00	7.38	1.94	464	0.54
SPBC17A3.08	35.39	6.01	-5.85	312	0.58
SPBC17A3.09c	40.65	9.69	13.93	363	0.6
SPBC17A3.10	34.30	8.49	9.69	306	0.58
SPBC17D1.01	64.21	6.57	-3.55	584	0.57
SPBC17D1.02	55.63	5.16	-11.78	503	0.56
SPBC17D1.03c	30.03	4.88	-6.48	270	0.6
SPBC17D1.04	28.71	5.12	-5.35	250	0.58
SPBC17D1.05	37.87	7.16	0.4	368	0.58
SPBC17D1.06	58.07	9.96	17.36	529	0.58
SPBC17D1.07c	111.17	9.52	38.57	949	0.61
SPBC17D1.17	6.93	6.53	-0.53	62	0.42
SPBC17D11.01	47.26	6.12	-15.53	420	0.58
SPBC17D11.02c	75.66	6.44	-4.31	677	0.6
SPBC17D11.03c	23.49	8.65	3.13	213	0.52
SPBC17D11.04c	88.26	6.7	-2.87	767	0.6
SPBC17D11.05	107.07	9.27	15.97	932	0.56
SPBC17D11.06	53.05	8.63	7.71	459	0.62
SPBC17D11.07c	107.28	4.68	-40.12	965	0.58
SPBC17D11.08	47.74	5.24	-9.01	435	0.6
SPBC17F3.01c	40.98	10.59	20.64	361	0.62
SPBC17F3.02	71.12	6.36	-5.6	652	0.61
SPBC17G9.02c	42.63	6.52	-4.19	371	0.55
SPBC17G9.03c	67.49	6.22	-7.41	591	0.54
SPBC17G9.04c	78.02	4.82	-27.84	675	0.59
SPBC17G9.05	50.78	5.57	-8.87	432	0.59
SPBC17G9.06c	39.77	5.92	-7.23	334	0.6
SPBC17G9.07	15.54	11.57	21.67	134	0.46
SPBC17G9.08c	99.08	6.82	-2.26	870	0.6
SPBC17G9.09	48.78	8.54	8.59	446	0.54
SPBC17G9.10	19.89	10.67	15.67	174	0.48
SPBC17G9.11c	130.86	7.1	1.37	1185	0.54
SPBC17G9.12c	31.09	4.86	-8.68	274	0.68
SPBC17G9.13c	37.01	11.37	40.19	317	0.66
SPBC1815.01	47.44	6.64	-1.39	439	0.43
SPBC1826.01c	217.63	6.19	-20.02	1953	0.58
SPBC1861.01c	72.05	10.07	19.67	643	0.62
SPBC1861.02	59.63	6.61	-5.18	527	0.58
SPBC1861.03	80.45	6.62	-4.38	708	0.61
SPBC1861.04c	118.01	5.95	-16.05	1014	0.62
SPBC1861.05	80.76	8.51	9.76	747	0.59
SPBC1861.06c	49.11	6.65	-3.18	433	0.61
SPBC1861.07	11.27	4.34	-6.86	97	0.52
SPBC1861.08c	26.91	6.52	-1.12	237	0.59
SPBC1861.09	59.84	7.58	4.36	526	0.61
SPBC18A7.01	50.59	5.71	-6.24	451	0.63
SPBC18A7.02c	52.86	6.39	-2.66	457	0.61
SPBC18E5.01	38.22	6.04	-9.2	342	0.57
SPBC18E5.02c	57.47	6.58	-3.09	509	0.56
SPBC18E5.03c	31.73	6.96	-0.08	277	0.59
SPBC18E5.04	25.37	10.61	23.97	221	0.48
SPBC18E5.05c	35.70	4.72	-14.27	314	0.59
SPBC18E5.06	9.62	5.05	-1.86	87	0.44
SPBC18E5.07	65.33	4.56	-28.09	615	0.6
SPBC18E5.08	21.15	9.54	6.37	186	0.56
SPBC18E5.09c	14.65	7.56	0.87	128	0.55
SPBC18E5.10	50.09	8.46	8.31	452	0.57
SPBC18E5.11c	49.22	9.06	7.52	454	0.57
SPBC18E5.12c	54.67	6.97	-0.17	494	0.62
SPBC18E5.13	27.04	10.47	17.89	233	0.61
SPBC18E5.14c	15.00	8.61	2.15	127	0.56
SPBC18H10.02	75.96	8.33	9.47	676	0.56
SPBC18H10.03	31.49	9.64	9.57	282	0.52
SPBC18H10.04c	42.51	5.72	-2.48	388	0.54
SPBC18H10.05	66.08	8.09	8.21	586	0.61
SPBC18H10.06c	39.81	6.9	-0.54	357	0.54
SPBC18H10.07	25.89	9.98	12.38	224	0.52
SPBC18H10.08c	67.75	8.16	9.3	593	0.62
SPBC18H10.09	56.92	8.38	13.42	495	0.62
SPBC18H10.10c	34.69	9.86	11.6	299	0.57
SPBC18H10.11c	50.05	10.26	31.88	432	0.67
SPBC18H10.12c	28.73	10.61	19.71	251	0.48
SPBC18H10.13	14.70	11.33	10.67	139	0.41
SPBC18H10.14	15.40	10.74	15.87	140	0.5
SPBC18H10.15	46.12	8.65	5.09	398	0.6
SPBC18H10.16	118.13	8.65	13.93	1050	0.58
SPBC18H10.17c	20.57	10.34	9.47	175	0.57
SPBC18H10.18c	27.09	6.24	-2.65	242	0.55
SPBC18H10.19	55.50	9.45	14.42	474	0.62
SPBC18H10.20c	40.14	8.91	9.63	361	0.57
SPBC1921.01c	12.19	11.32	16.35	108	0.53
SPBC1921.02	46.08	4.78	-18.47	406	0.61
SPBC1921.03c	66.53	10.46	24.39	596	0.62
SPBC1921.04c	13.69	10.48	11.6	117	0.55
SPBC1921.05	99.45	5.61	-13.31	882	0.55
SPBC1921.06c	43.83	5.49	-6.46	378	0.62
SPBC1921.07c	27.52	5.09	-6.91	244	0.57
SPBC19C2.01	121.22	5.08	-24.06	1055	0.58
SPBC19C2.02	37.98	6.7	-1.34	330	0.62
SPBC19C2.03	7.20	10.33	7.33	63	0.49
SPBC19C2.04c	39.17	8.78	11.51	350	0.58
SPBC19C2.05	52.21	8.24	6.8	470	0.61
SPBC19C2.06c	16.30	8.6	6.65	145	0.56
SPBC19C2.07	39.57	6.32	-4.96	358	0.42
SPBC19C2.08	24.46	4.29	-15.63	210	0.61
SPBC19C2.09	98.49	6.62	-3.14	900	0.6
SPBC19C2.10	56.73	6.8	-1.2	501	0.63
SPBC19C2.11c	50.33	10.06	12.4	452	0.58
SPBC19C2.12	16.56	10.41	13.58	145	0.58
SPBC19C2.13c	40.74	7.26	0.81	366	0.6
SPBC19C2.14	11.03	9.89	4.88	97	0.5
SPBC19C2.15c	24.04	10.16	12.63	208	0.6
SPBC19C7.01	22.58	10.52	18.71	196	0.53
SPBC19C7.02	225.76	6.07	-37.86	1958	0.6
SPBC19C7.03	190.33	6.16	-16.8	1692	0.62
SPBC19C7.04c	14.65	7.66	0.92	124	0.47
SPBC19C7.05	16.38	5.83	-0.81	150	0.53
SPBC19C7.06	78.87	6.75	-1.89	716	0.55
SPBC19C7.07c	32.81	6.32	-3.13	284	0.58
SPBC19C7.08c	77.55	6.91	-0.83	681	0.6
SPBC19C7.09c	68.82	8.68	12.03	599	0.59
SPBC19C7.10	47.83	9.33	6.17	432	0.61
SPBC19C7.11	85.16	6.94	-0.3	766	0.61
SPBC19C7.12c	46.51	5.1	-14.86	390	0.54
SPBC19F5.01c	40.43	4.97	-11.89	359	0.59
SPBC19F5.02c	79.12	8.24	7.75	710	0.6
SPBC19F5.03	68.71	8.92	15.21	598	0.59
SPBC19F5.04	56.81	6.35	-5.55	519	0.53
SPBC19F5.05c	69.19	7.15	0.77	607	0.55
SPBC19F8.01c	49.30	5.22	-10.98	428	0.59
SPBC19F8.02	19.44	4.77	-9.58	166	0.53
SPBC19F8.03c	72.98	5.28	-13.12	649	0.58
SPBC19F8.04c	26.39	10.53	22.33	230	0.57
SPBC19F8.05	25.36	6.53	-1.12	218	0.62
SPBC19F8.06c	62.69	8.6	4.8	574	0.64
SPBC19F8.07	38.54	9.2	7.3	335	0.67
SPBC19F8.08	29.69	10.96	26.57	262	0.5
SPBC19G7.01c	109.74	6.12	-18.51	982	0.62
SPBC19G7.02	26.26	8.44	3.1	231	0.57
SPBC19G7.03c	6.91	12.21	15.21	61	0.38
SPBC19G7.04	40.98	9.98	25.51	356	0.61
SPBC19G7.05c	199.67	8.45	26.88	1729	0.55
SPBC19G7.06	50.91	5.91	-7.95	457	0.55
SPBC19G7.07c	79.29	9.43	20.3	687	0.57
SPBC19G7.08c	53.71	5.93	-7.22	483	0.6
SPBC19G7.09	64.94	9.72	17.68	568	0.61
SPBC19G7.10c	84.12	4.77	-20.08	754	0.56
SPBC19G7.13	54.60	8.67	3.88	485	0.61
SPBC19G7.14c	47.52	6.79	-0.7	411	0.6
SPBC19G7.15	44.48	10.07	10.65	403	0.63
SPBC19G7.16	49.11	5.2	-7.22	428	0.52
SPBC19G7.17	52.44	8.82	7.72	475	0.56
SPBC19G7.18c	28.53	6.3	-1.27	252	0.59
SPBC19G7.19	5.36	10.69	3.97	49	0.43
SPBC1A4.01	21.47	6.8	-0.59	189	0.57
SPBC1A4.02c	39.73	5.19	-6.99	371	0.52
SPBC1A4.03c	167.89	7.31	3.19	1485	0.63
SPBC1A4.04	27.48	5.7	-2.47	249	0.54
SPBC1A4.05	78.12	6.75	-1.42	700	0.61
SPBC1A4.06c	45.20	9.86	16.33	393	0.65
SPBC1A4.07c	49.99	10.19	23.04	436	0.56
SPBC1A4.08c	58.48	7.28	1.55	528	0.57
SPBC1A4.09	76.44	7.34	2.27	680	0.57
SPBC1A4.10c	100.83	8.03	11.25	879	0.59
SPBC1A4.11c	14.22	4.41	-6.79	124	0.53
SPBC1D7.01	12.65	6.27	-1.28	112	0.5
SPBC1D7.02c	59.71	10.66	32.08	565	0.59
SPBC1D7.03	50.62	8.34	5.41	461	0.57
SPBC1D7.04	21.79	10.92	18.96	199	0.49
SPBC1D7.05	73.63	8.31	7.36	659	0.65
SPBC1E8.02	66.57	7.16	1.48	603	0.59
SPBC1E8.03c	63.38	6.41	-5.33	550	0.59
SPBC1E8.04	154.85	9.57	42.48	1332	0.57
SPBC1E8.05	31.09	5.08	-1.08	317	0.47
SPBC20F10.01	20.13	11.67	20.16	194	0.55
SPBC20F10.02c	68.95	7.3	1.59	600	0.64
SPBC20F10.03	50.04	4.45	-24.24	446	0.6
SPBC20F10.04c	34.51	9.2	3.93	300	0.62
SPBC20F10.05	113.25	7.69	5.83	972	0.59
SPBC20F10.06	23.58	5.88	-1.61	203	0.57
SPBC20F10.07	85.35	5.58	-20.6	764	0.61
SPBC20F10.08c	84.84	5.56	-11.36	747	0.59
SPBC20F10.09	8.85	4.2	-5.83	80	0.46
SPBC20F10.10	27.94	5.78	-5.93	243	0.61
SPBC21.01	49.67	4.7	-17.34	441	0.58
SPBC21.02	58.75	7.96	6.26	511	0.58
SPBC21.03c	28.14	8.97	4.87	239	0.62
SPBC21.04	23.33	4.88	-9.31	200	0.55
SPBC21.05c	69.85	6.5	-4.59	611	0.63
SPBC21.06c	119.29	7.67	6.52	1062	0.61
SPBC21.07c	52.28	9.02	13.06	461	0.61
SPBC211.01	26.57	9.89	11.34	228	0.58
SPBC211.02c	92.64	6.06	-10.61	790	0.61
SPBC211.03c	165.43	5.1	-34.18	1462	0.63
SPBC211.04c	99.55	4.77	-31.47	892	0.59
SPBC211.05	9.58	10.06	4.42	85	0.55
SPBC211.06	66.76	5.29	-13.42	577	0.56
SPBC211.07c	20.99	4.08	-16.31	184	0.6
SPBC211.08c	28.43	7.74	1.74	257	0.58
SPBC215.01	95.00	5.67	-13.92	834	0.6
SPBC215.02	16.77	4.98	-2.07	154	0.5
